Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,230.857,230.857,screen dark,34.186782044800005
0,230.857,230.857,wifi running,0.4856076995
0,230.857,230.857,audio,38.84861596
0.551,230.857,230.306,audio,38.75589368
0.551,77.825,77.274,audio,13.003668719999999
77.827,230.857,153.03,audio,25.7518884
57.52,230.857,173.337,video,94.79973867
57.52,77.827,20.306999999999995,video,11.106101369999998
78.613,230.857,152.244,video,83.26376604000001
78.613,94.007,15.394000000000005,video,8.419132540000003

